ImageID,Labels,Caption
75.jpg,1 5,"A jet sits on display in during an air show."
76.jpg,1,"a man from the neck down with a suit and tie on"
77.jpg,1 2,"A little kid that is on a skateboard."
78.jpg,1,"Two very big elephants standing together in an enclosure."
79.jpg,1 11,"people built a dog house shaped sand castle"
80.jpg,1,"a girl is wearing a tie and a dress"
81.jpg,1,"a snowboarder in blue pants standing on his snowboard"
82.jpg,17,"A couple of cats laying on a couch in a room."
83.jpg,1,"A person pulling apart a bunch of bananas in a box."
84.jpg,1 3,"MAN ON CELL PHONE STANDING ON STREET CORNER IN HOUSE SLIPPERS"
85.jpg,1,"a group of people walking next to a building with their suitcases"
86.jpg,1,"Two men pose while having a photograph taken."
87.jpg,18,"A dog sitting in a heart on a beach by ocean"
88.jpg,10 1 2 3,"some bicycle riders are crossing a street"
89.jpg,5,"a large air plane flying thru the sky with mountains in the background"
90.jpg,17,"An orange cat laying on a bed with a black comforter."
91.jpg,7,"A train station near a snowy mountain belt."
92.jpg,1,"A woman kneeling down to pet a black and white cow laying on the ground."
93.jpg,8 1,"A person standing on the snow next to a tree."
94.jpg,1 5,"Many propeller plans and biplanes on display in a museum."
95.jpg,1,"A man performing a trick on a skateboard."
96.jpg,10 7,"A cargo train that is traveling down some railroad tracks."
97.jpg,17,"A black and white cat laying on top of a colorful rug."
98.jpg,1 3,"A sandwich and a glass of wine at an outside eatery."
99.jpg,1,"A woman standing in a kitchen next to jars on a counter."
100.jpg,16 9,"An orange boat docked next to a platform."
101.jpg,5,"A model red plane hung from a ceiling."
102.jpg,1,"A guy playing with a Frisbee outside during the daytime."
103.jpg,1,"People are standing in the sand on the beach flying a kite."
104.jpg,1,"A mustachioed man in football pads and helmet poses aggressively with a baseball bat in his hand."
105.jpg,1,"A person with an umbrella walking near the flowers."
106.jpg,1 4 5,"An airplane flying through the air over a motorcycle."
107.jpg,1,"An elderly woman in a wheelchair opening  Christmas gifts"
108.jpg,1,"A group of men standing around a counter in a kitchen."
109.jpg,1,"A large building with a clock and people nearby."
110.jpg,1,"a man is sitting on the grass eating some food and a drink"
111.jpg,1 6,"A person holding a tray full of orange carrots."
112.jpg,1,"A man in swim shorts is riding a surf board."
113.jpg,1 3 5,"A commercial airplane with the door open and people walking in."
114.jpg,1 2 3 4 6 8,"A beautiful young woman riding on the back of a motorcycle."
115.jpg,1 18 17,"A big cat and a small cat sitting down with their backs turned"
116.jpg,17 19,"An orange cat standing on the top of a brown horse."
117.jpg,1,"a young guy walking in a forrest holding an object in his hand"
118.jpg,1 19,"A man riding on the back of a horse."
119.jpg,1 5,"People stand around an old airplane that is tilted on it's nose."
120.jpg,1,"A man flying a kite in a cloudy blue sky."
121.jpg,1 18,"A baby with a Santa hat on and boots hold a pair of pliers."
122.jpg,3 6,"A wide panned shot of London at daytime."
123.jpg,1,"A woman in the middle of swinging a tennis racket."
124.jpg,8 1 18,"A person on a four-wheeler herding sheep in the snow."
125.jpg,1,"Two adults and a child on skis in the snow."
126.jpg,1,"A man is riding on a surfboard in the ocean."
127.jpg,1,"A silver and clear drink container with a black tray of fruit next to it."
128.jpg,1 9,"A man is sitting in a boat on a river and drinking a bottle of water."
129.jpg,1,"A person on a court with a tennis racket."
130.jpg,3 5,"A large commercial airplane parked on a runway"
131.jpg,1,"Several people around a table getting ready to cut into a cake."
132.jpg,1 15,"A young man riding a skateboard up the side of a ramp."
133.jpg,8 1,"A herd of cows standing on a grass covered field."
134.jpg,9 1,"A couple of boats are on a a river"
135.jpg,1,"Two young children on a ramp with their skate boards."
136.jpg,11,"a close up of a yellow fire hydrant near a wall"
137.jpg,16,"A lone bird flying past a chemical plants smoke stacks."
138.jpg,8 10 3,"A stalk of broccoli sitting on the dashboard of a car."
139.jpg,1 3 6 8 10,"a blue red and white truck and some buildings"
140.jpg,1,"A person about to swing a tennis racket"
141.jpg,1,"The homemade pizza just came out of the oven."
142.jpg,1,"A man holding a white surfboard standing in the ocean."
143.jpg,7,"A wagon rides on a track in an old town"
144.jpg,1,"a woman with her arms around a man holding a frisbee in a field"
145.jpg,1,"A man's tattoo is seen under his dress shirt sleeve as he holds a rose."
146.jpg,1,"People who are dressed for skiing standing in the snow."
147.jpg,1 3,"Two girls sit on the ground looking at their phones."
148.jpg,18,"a dog seems to be walking over frozen water"
149.jpg,1,"A person swing a tennis racket at a tennis ball."
150.jpg,8 5,"The plane on the runway is waiting to take off from the airport."
151.jpg,18,"A dog sitting on top of a toilet."
152.jpg,2 6,"A bicycle with a book bag chained to a bike stand."
153.jpg,1 19,"The people is  riding horses on the water."
154.jpg,1,"A man riding a wave on top of a surfboard."
155.jpg,1,"Two men riding skis down a snow covered ski slope."
156.jpg,18,"a close up of a dog laying on a chair"
157.jpg,1 18,"A man kneeling down next to a brown dog."
158.jpg,3,"An open brown refrigerator sitting on an asphalt street."
159.jpg,7,"A large long train on a steel track."
160.jpg,1 3 6,"A blue bus driving down a street next to cars."
161.jpg,1,"A man standing next to his guitar case talking on his cell phone."
162.jpg,1,"People sit along tables in chairs with bags."
163.jpg,1 6,"A yellow and red bus traveling past a tall building."
164.jpg,1,"A woman holding a tennis racket on a green tennis court."
165.jpg,1,"there is a an riding a skateboard in a ramp"
166.jpg,16,"A ZEBRA AND AND OSTRICH ARE NEXT TO EACH OTHER"
167.jpg,1,"A massive crowd of people standing on top of a sandy beach."
168.jpg,1,"A naked child brushing teeth in a mirror."
169.jpg,15,"A snow covered park bench in a snow covered park."
170.jpg,1,"two female friends share a chocolate covered doughnut"
171.jpg,1,"A man that is in the air on a wall with a skateboard."
172.jpg,1,"A man standing on top of a tennis court holding  racquet."
173.jpg,1,"A room with a rug, table, and chairs, and other items"
174.jpg,1,"A group of young men holding skateboards standing in front of a store."
175.jpg,1,"A man sitting in a chair in a living room."
176.jpg,1 6,"A man with a suitcase stands near a street."
177.jpg,7,"A white and yellow passenger train sits on its rail with a tower in the background."
178.jpg,1,"some ribs sitting on a cutting board next to some apple slices and leaves"
179.jpg,1,"A man sitting in front of a laptop computer."
180.jpg,1,"A black and white picture of a man surfing,"
181.jpg,1 18,"A man riding on the back of a dog sled."
182.jpg,16,"A group of birds standing on top of a body of water looking for food."
183.jpg,1 3 4 10 18,"A man riding a red motorcycle down a street with a dog on back of it."
184.jpg,1 3,"A car driving on a street in the town center."
185.jpg,17,"A cat is staring at the viewer as it sits in a bathroom sink."
186.jpg,1 2 19 7,"A horse drawn carriage driving down a street."
187.jpg,17 1,"A brindled cat laying near a woman's foot wearing a cat shoe."
188.jpg,1,"five girls jumping in the air two of them are holding ball bats"
189.jpg,1,"A group of people at a table with laptops."
190.jpg,1,"Two girls in an apartment play a lively video game."
191.jpg,1,"a man leaning over as he gets ready to serve a ball"
192.jpg,1,"Man holding a wine glass with a small amount of red wine."
193.jpg,17,"A cat is looking over two pieces of luggage."
194.jpg,1,"A person on a surfboard in the water."
195.jpg,1,"A woman is getting ready to hit a ball with a tennis racket."
196.jpg,1,"a close up of a person wearing a suit and tie"
197.jpg,1 19,"A man riding on the back of a brown horse next to a tree."
198.jpg,1,"Picture of a person during baseball in the air."
199.jpg,1,"There are two Girls one of them is washing the dishes."
200.jpg,8 1 3 6,"A double-decker bus is on a street outside a building."
201.jpg,9 1,"Umbrella covered lawn chairs line the beach of a beautiful blue ocean."
202.jpg,1 15,"Women hiding from the sun on a city bench"
203.jpg,11,"A fire hydrant on  concrete pad amid a rock bed."
204.jpg,1,"small children learning tennis on a modifgied court"
205.jpg,16 8 3,"The flock of birds is flying toward the domed building."
206.jpg,1 19,"A MAN IS RIDING A HORSE ON THE GREEN"
207.jpg,1,"A group of people stand on a beach on a partly cloudy day."
208.jpg,8 1 5,"A large jetliner sitting on top of an airport tarmac."
209.jpg,1,"A skateboarder is in mid air during a jump."
210.jpg,5,"A large passenger jet flying through a blue sky."
211.jpg,1 3,"A refrigerator between parked cars on a snowy city street"
212.jpg,8 3,"A white tower sitting in the middle of a brick planter."
213.jpg,1 18 4,"A dog that is standing on a motorcycle."
214.jpg,17,"A black and white cat sitting on top of  a pillow in a chair."
215.jpg,1,"A skier jumping through the air and landing in the snow."
216.jpg,1,"a man with a brown suit, sitting at a table with microphone, listening."
217.jpg,8 1 4,"A group of people on motor bikes on a road."
218.jpg,1 18 15,"A man in grey shirt with camera on bench next to two dogs."
219.jpg,1,"A small child on skis next to a group of adults also on skis."
220.jpg,1,"some people and a brown and white animal and grass"
221.jpg,1 19,"a large horse is attached to a carriage"
222.jpg,1,"A baseball player swinging a baseball bat over home plate."
223.jpg,1,"a young boy in a soccer uniform kicking a ball"
224.jpg,1 3,"A woman sitting in front of a laptop computer."
225.jpg,1,"Woman at an outdoor dining room table looking at food."
226.jpg,1,"Snowboarder on large snow covered slope in alpine area."
227.jpg,17,"A cat standing on top of a wooden table."
228.jpg,1,"A group of kids play frisbee in a muddy field while it rains"
229.jpg,1,"Several people on surfboards waiting for a good wave."
230.jpg,1,"Two children lie in bed under a blanket."
231.jpg,10 7,"A cargo train traveling past large power poles."
232.jpg,1,"a person doing a trick on a surfboard in the ocean."
233.jpg,1,"A tennis player getting ready to serve the ball."
234.jpg,1,"People are standing in a field with kites flying above."
235.jpg,1,"A woman is throwing an orange frisbee to a kid."
236.jpg,1,"A woman standing on a tennis court holding a racquet."
237.jpg,1,"A boy on a snow board poses for the camera."
238.jpg,1,"A woman standing in front of a kitchen counter."
239.jpg,1,"A young girl stands on her bunk bed holding a paper."
240.jpg,17,"A cat is sitting in a window next to a plant."
241.jpg,1,"A couple of men playing a game of frisbee."
242.jpg,9,"Row boats moored at a pier on a lake surrounded by mountains."
243.jpg,1 6,"Two buses driving down a curvy street next to a building."
244.jpg,1 3 6,"There is a sightseeing bus on the side of the road."
245.jpg,1,"A group of men standing next to each other dancing."
246.jpg,1 2,"A reclining lounge chair mounted on a bicycle."
247.jpg,1,"A row of people in a field standing under umbrellas."
248.jpg,1 15,"A man flying through the air riding a skateboard."
249.jpg,1 3 4 8 10,"A view of a street closed off with police cars and construction workers."
250.jpg,1,"a group of people busy at work studying."
251.jpg,1,"The group of people are playing video games together."
252.jpg,1,"A man in blue shirt sitting on toilet next to sink and mirror."
253.jpg,1 7 15,"A number of locomotive train engines and cars on multiple set of train tracks."
254.jpg,1,"Several pizzas on plates next to stacks of plates."
255.jpg,1,"a group of women are gathered in a living room"
256.jpg,8 1 18 3,"A dog hanging it's head out of a truck window."
257.jpg,1,"A crowd of young children wearing baseball uniforms."
258.jpg,1,"A man flying through the air while riding skis."
259.jpg,1 3,"A man flying a kite on top of a green field."
260.jpg,8 1 3 15,"A person sitting in front of many surfboards."
261.jpg,1 4,"Racing motorcycle's sitting on racks next to each other."
262.jpg,1,"A man walking on a brick sidewalk with an umbrella."
263.jpg,1,"Two tennis players are on a team in a match."
264.jpg,1 2 3,"A turquoise compact car with a bicycle on a rack on top of it."
265.jpg,1,"A woman holding up a juicy peach with one bite taken"
266.jpg,1,"A person is holding a bucket while another feeds a giraffe."
267.jpg,8 1,"A group of young people playing a game of frisbee."
268.jpg,1 3 13,"Two urban traffic signs adorned with political graffiti."
269.jpg,1,"A boy is on a brown field with kites in the air."
270.jpg,7,"A blue and white train traveling down train tracks."
271.jpg,1,"And man and a woman standing together talking."
272.jpg,1,"a baby laughs while sitting at a table"
273.jpg,8 1 10 3,"A busy side street filled with pedestrians walking by storefronts and dozens of cars riding down the road."
274.jpg,1,"Two hands that are standing up holding something."
275.jpg,7,"A couple of train engines riding down some tracks."
276.jpg,1,"A woman sitting at a desk rubbing her hands together."
277.jpg,16,"A bird flying into a side view mirror."
278.jpg,1,"A baby in diaper laying with a brown teddy bear."
279.jpg,1 19,"A horse standing with others tied to a tree with a sleigh behind them."
280.jpg,1,"A group of men posing for a picture holding tennis racquets."
281.jpg,1,"A man in a grassy field holding a kite."
282.jpg,1,"A leaps straight up into the air with a flying frisbee in front of him."
283.jpg,3 14,"Old parking meter in front of a nail salon."
284.jpg,1,"A man holding a tennis racquet on a tennis court."
285.jpg,19 1 3,"A group of cowboys riding their horses down the street."
286.jpg,1,"A lone female surfer rides a small wave."
287.jpg,1,"a mascot with people on a baseball field"
288.jpg,1,"A young child holding a baseball bat while wearing a thick jacket."
289.jpg,1,"A man standing in a living room filled with furniture."
290.jpg,1,"Two young boys walk through an apple orchard."
291.jpg,16,"White bird perched on a window looking inside."
292.jpg,2,"a desk filled with assorted electronics and a phone"
293.jpg,5,"Four jets breaking formation in a cloudy sky above power lines"
294.jpg,1 3,"A man in a white fedora holds a rainbow umbrella."
295.jpg,1,"A woman flys a kite on a cloudy beach."
296.jpg,1,"A black and white picture of two women in the kitchen ."
297.jpg,16,"A colorful hummingbird flying next to a bird feeder."
298.jpg,1 9,"Three people walking onto a boat holding luggage."
299.jpg,1,"A piece of pottery with ancient images is inside a display case."
300.jpg,1,"A man holding a teddy bear and a sign next to a man holding a stuffed animal cow and a red phone."
301.jpg,1 17,"A cat is laying on someone's lap while they sit on the couch."
302.jpg,1 18,"A brown dog biting at something from his owner."
303.jpg,1,"A man riding a wave on a surfboard in the ocean."
304.jpg,1 19,"A person riding on the back of a horse next to a body of water."
305.jpg,1,"A goalie standing in front of a soccer goal."
306.jpg,16,"a bird that is standing on the ground"
307.jpg,16,"Two birds walking alone a wooden rail at a park."
308.jpg,1,"A bearded man in a red cap on a skateboard."
309.jpg,1,"Man skateboarding on red pavement on his board."
310.jpg,1,"A woman riding a large elephant through a forest."
311.jpg,1,"Two men standing on a hill in snow skis."
312.jpg,17,"a small cat is sitting on top of the luggage."
313.jpg,1,"an image of people looking at cactus in the rain"
314.jpg,8 1 3,"A city street filled with lots of traffic."
315.jpg,1,"there are three guys playing with a white frisbee"
316.jpg,16,"a single bird standing on the beach by the water"
317.jpg,1,"Two brown teddy bears sitting on floor next to a piano."
318.jpg,1,"a group of people in a field near many trees"
319.jpg,1,"A girl is on first base while another batter is getting ready to bat"
320.jpg,8 1 10 3,"there is a construction working fixing a street sign"
321.jpg,1,"A person riding down the side of a snow covered slope."
322.jpg,1,"A woman standing at a table covered in desserts."
323.jpg,8 1 3 4,"a black and white sign a street some cars and trees"
324.jpg,18,"A dog catching a blue Frisbee on a field."
325.jpg,1,"A man and a woman at the beach in front of the ocean with small waves."
326.jpg,1,"A woman and a man standing next to a table."
327.jpg,3,"An elephant standing on a grass covered field"
328.jpg,4,"a motor bike is parked outside on the gravel road"
329.jpg,1,"An office with a corner desk full of three desk top computers and paper."
330.jpg,1,"a couple of snowboarders are coming down a hill"
331.jpg,17,"A tail of a cat hanging on the outside of a suitcase."
332.jpg,1,"A man riding a surfboard in the middle of the ocean,"
333.jpg,18,"The dog is wearing a Santa Claus hat."
334.jpg,1,"Several suitcases, a pair of shoes and a hand bag in a hallway."
335.jpg,1,"A girl playing tennis while hitting a serve"
336.jpg,18,"The cluttered wood finished room has a dog laying next to a chair on a rug."
337.jpg,8 1 6 7,"Commuter rail crossing bridge with many people walking alongside sidewalk"
338.jpg,1,"A group of men that are sitting around a table."
339.jpg,3 1 2 10,"City traffic on large boulevard shown at dusk."
340.jpg,1 19 15,"people and their horses at a local park"
341.jpg,18 15,"Dog with frisbee in mouth, green grass below"
342.jpg,1,"Three woman and a man at a restaurant."
343.jpg,1,"A tall giraffe standing behind a cage next to people."
344.jpg,1,"A half eaten piece of pizza sits on a white plate as a hand holding a fork with a piece of pizza on it."
345.jpg,1,"A woman in a kitchen preparing food while wearing an apron."
346.jpg,1,"A tray topped with bowls of different kinds of food."
347.jpg,1,"a surfer at the beach catching a wave"
348.jpg,17 3,"A large orange and white cat laying on top of a table."
349.jpg,1,"a woman leaning over looking into her phone as she gets ready to take a picture"
350.jpg,6,"A red bus driving down a road next to a store front."
351.jpg,1 2 3 6 8 10,"A woman riding a bicycle while talking on a cell phone."
352.jpg,1,"A group of men playing Frisbee on a field."
353.jpg,17,"The cat is taking a nap on the back of the couch."
354.jpg,8 1 3 15,"a woman tennis player hits a tennis ball"
355.jpg,6,"an  image of a row of buses parked in the parking lot"
356.jpg,15,"A nicely designed bench in a grassy area"
357.jpg,1 15,"A baseball player has just hit the ball and is about to run towards first base."
358.jpg,2,"A laptop and mouse on a small table."
359.jpg,1,"The young woman smiles while the older woman frowns."
360.jpg,10 3,"Headlights from cars traveling up a street road."
361.jpg,8 1 19,"two photos of an old street with horses and a new street with a truck"
362.jpg,1 2 9,"The group of people lay on the beach near a parked bicycle."
363.jpg,1 3 6 8 10,"A small transit bus is stopped at the side of the street."
364.jpg,1,"a little league r  looking down at the dirt"
365.jpg,1,"A boy doing a skateboard trick at a skatepark."
366.jpg,1,"A woman hitting a tennis ball on a tennis court."
367.jpg,1 10 6,"A double decker bus is coming down the street."
368.jpg,1,"A woman is melting something in a pan on the stove."
369.jpg,1,"Mid-air shot of men playing sports indoors in front of an audience."
370.jpg,1,"A surfer balances on his board as he climbs the face of a wave."
371.jpg,1,"A little boy sitting at a table with a bag of food."
372.jpg,1,"A man with a bat stands at the base."
373.jpg,1 18 15,"Man and dog sitting on a park bench together."
374.jpg,1,"A person using a snowboard on the snow."
375.jpg,1,"A group of chefs preparing food inside of a kitchen."
376.jpg,13,"A faded red stop sign sitting on the side of a street."
377.jpg,1 19 5,"A group of men cutting a giant sheet cake."
378.jpg,17 3,"Cat laying on the hood of a car at night."
379.jpg,1 10 3,"A picture of a busy city with something labeled isolation"
380.jpg,1,"a person that is standing around in a bathroom"
381.jpg,7,"A train emerging out of the woods on a railroad track."
382.jpg,1 2 6,"A person standing in front of a parked bus with a bicycle on it."
383.jpg,1 3 4,"A scooter covered in a green, felt-like fabric."
384.jpg,1 2 3 4 8,"A man reading a paper by a cart with banana's on it."
385.jpg,1 3,"A group of people playing a game of croquet."
386.jpg,1,"A person is showing a half eaten doughnut"
387.jpg,11,"A fire hydrant in the winter covered almost completely in snow."
388.jpg,1 3 15,"A person walking on a sidewalk with a colorful umbrella."
389.jpg,17,"A cat stretches out on the tops of a desk to take a nap."
390.jpg,1,"Two women and a man wearing a pink shirt drink glasses filled with water."
391.jpg,1,"A man is showing his cell phone case with the Olympic symbol on it."
392.jpg,3 11,"a silver painted fire hydrant and a silver car"
393.jpg,1,"A chef preparing food inside of a kitchen near  a window."
394.jpg,1,"Black and white photograph of a boy looking at a cellphone."
395.jpg,1,"A little girl sitting on top of a bed near pillows."
396.jpg,8 3,"A road that is lined with traffic cones and signs."
397.jpg,3 14,"there is a parking pay meter on the sidewalk"
398.jpg,1 5,"A jumbo jet plane ascending from a runway into the sky."
399.jpg,1 2 3,"A group of people walking down a flooded city street."
400.jpg,1,"A person with some skis in the snow."
401.jpg,1 3,"A girl and boy in a field playing tennis."
402.jpg,1,"The woman has a leash on the Zebra."
403.jpg,1,"A baseball game in progress with a runner crossing the base."
404.jpg,8 1 19,"two people riding horses with a truck in the background"
405.jpg,17 15,"A cat is sitting inside of a dish."
406.jpg,5,"Planes in formation against a dark sky in mountainous region."
407.jpg,1,"people using surfing board on the waters in an ocean"
408.jpg,9 1,"A cruiseboat traveling next to shoreline with many buildings"
409.jpg,1,"The young child uses a laptop at a desk."
410.jpg,15,"A wooden bench sitting next to a small forest."
411.jpg,1,"People picking up luggage at carousel in the airport."
412.jpg,1 3,"a man eating a meal at a little table by a big window"
413.jpg,1,"Military personnel are serving people in a buffet line."
414.jpg,1 3 6,"A large white bus on a city road."
415.jpg,1,"A woman flying a kite and holding onto kite string."
416.jpg,1,"A couple of kids sitting next to a lot of other kids."
417.jpg,17,"A cat laying on a table next to bottle with a fish in it."
418.jpg,1,"Two homemade pizzas were fixed with different ingredients."
419.jpg,16,"a duck swims through the water by itself"
420.jpg,1,"A baseball player standing next to a base."
421.jpg,1,"Two women in costume standing next to a man in a suit."
422.jpg,1,"A man using his head to hit a soccer ball while playing soccer with other men."
423.jpg,1,"An observer watches a snowboarder high above the ground."
424.jpg,1,"A man holding a baseball bat while standing on a baseball field."
425.jpg,1,"a person standing with a guitar with people sitting"
426.jpg,1,"two men standing at the end of a tennis court during a doubles match"
427.jpg,1 2 4,"A cow shares the street with merchants and cyclists in an Indian marketplace."
428.jpg,1 19,"Some people are going out to have a good time."
429.jpg,8 3 6,"an image of a tour bus that is parked outside a house"
430.jpg,17,"A calico cat laying on a folded blanket on an unmade bed."
431.jpg,1,"Man standing in a living room holding a Wii controller in his hand."
432.jpg,9 1,"there is a woman sitting on a boat that carries wood"
433.jpg,1,"Small boy holding up broken umbrella Ina parking lot."
434.jpg,1,"a little girl is sucking her thumb and a few people in the background"
435.jpg,1,"A surfer crashing in the wake of large wave"
436.jpg,1,"A man that is on a rail with a skateboard."
437.jpg,9,"A boat traveling through the water towards a rocky shore."
438.jpg,8 1 5,"A photo looking out of the side of a plane at another commercial plane."
439.jpg,1,"A bathroom showing the tub, pedestal sink, and toilet."
440.jpg,16,"A group of birds in a pine tree looking around."
441.jpg,1 2 9,"Bikes parked next to a canal reflecting lights at night."
442.jpg,5,"A line of planes on a runway waiting to take off."
443.jpg,1,"A man and woman sheering a sheep next to a barn."
444.jpg,17,"A cat sitting and staring at a television set."
445.jpg,1 3 13,"A car riding near a construction site that's taped off."
446.jpg,9,"Boats sitting out on the calm water of a lake."
447.jpg,1,"A person with an umbrella walks down the side walk alongside fenced in greenery."
448.jpg,1,"Two children on boogie/body boards in the ocean."
449.jpg,1,"A man in a hat is holding two cell phones."
450.jpg,1,"Two people are surfing on a wave near each other."
451.jpg,1 3 4,"A motorcycle with a side park parked on dry grass."
452.jpg,1,"Two women standing in front of a metal yellow bin with a purple teddy bear."
453.jpg,1,"A woman sitting on top of a green couch near a window."
454.jpg,1 2 3 8 15,"A person doing a skateboarding trick on sidewalk."
455.jpg,1,"Skiers come down a snowy hill in a row"
456.jpg,1,"A man standing next to an elephant near a forest."
457.jpg,1,"a person that is on a skateboard on some concrete"
458.jpg,8 5,"An airplane that is on a runway about to fly."
459.jpg,1,"Two women walking on the sidewalk while holding umbrellas."
460.jpg,1,"An advertisement in a magazine of someone trying to cut the power cord on a net-book."
461.jpg,17,"a living room with a television and three book cases"
462.jpg,1 10,"There is a line of people in uniform standing outside buildings in New York."
463.jpg,1,"A man holding a tennis racket up in anticipation of a ball."
464.jpg,1,"A laptop computer on a desk with a television playing."
465.jpg,17,"The cat is sitting inside the packed suitcase."
466.jpg,1,"the baseball player is swinging the bat"
467.jpg,1 3,"A man standing in a grassy area flying a kite."
468.jpg,1,"A photo of a person being taken in this picture."
469.jpg,1 6,"A double decker bus is riding through a snow storm"
470.jpg,1,"A large freezer refrigerator combo sitting in a kitchen next to a water dispenser."
471.jpg,6,"A red double decker bus with palm trees in the background."
472.jpg,8 1 4,"A man riding a motorcycle with his wife and child on the back."
473.jpg,1,"Windsurfers on the water, their parachutes high in the air"
474.jpg,1 15,"Two pairs of legs in shoes on an asphalt surface."
475.jpg,1,"A young girl sitting on top of a bed next to a book shelf"
476.jpg,9 3,"a number of small boats in body of water"
477.jpg,17,"a couple of sheets with a cat on top of them."
478.jpg,10 13,"The stop sign is clearly displayed above the traffic light."
479.jpg,8 1 3 4,"A man sitting on a motorcycle on a road."
480.jpg,16,"Two white geese standing in the grass next to a pond."
481.jpg,1,"A Little League baseball game with the hitter, catcher, and umpire."
482.jpg,1 18,"a small dog is holding a brush in its mouth"
483.jpg,8 1 3 15,"a few people are reading news papers on the street"
484.jpg,1,"A giant slice of pizza sitting on top of a paper plate."
485.jpg,1,"A man kneeling down on a grass field."
486.jpg,1 4 6,"people, scooters and many red and yellow buses"
487.jpg,9 1,"The small boat is able to hold a lot of people."
